Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
VIC,AusNet,"06/12/2021 05:32
Monday","06/12/2021 15:30
Monday",Moorabool–Sydenham No.1 500 kV Line,"<<UPDATED since the last notification>>
A credible contingency event during this planned outage may require market intervention through issuing of directions",Day: 2 hrs-Night: NA,In Progress - PTP,"In Progress - PTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"07/12/2021 05:30
Tuesday","07/12/2021 15:30
Tuesday",Moorabool–Sydenham No.1 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"08/12/2021 05:30
Wednesday","08/12/2021 15:30
Wednesday",Moorabool–Sydenham No.1 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"08/12/2021 07:00
Wednesday","08/12/2021 16:00
Wednesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"09/12/2021 05:30
Thursday","09/12/2021 18:00
Thursday",Moorabool–Sydenham No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage may require market intervention through issuing of directions",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
12.5 Hours",12.5 Hours,,,,,,,
TAS,TasNetworks,"09/12/2021 07:00
Thursday","09/12/2021 16:00
Thursday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"13/12/2021 05:30
Monday","13/12/2021 15:30
Monday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"13/12/2021 06:30
Monday","13/12/2021 14:30
Monday",Hazelwood - Cranbourne 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,,,"Maintenance
8 Hours",8 Hours,,,,,,,
NSW,Transgrid,"13/12/2021 07:00
Monday","13/12/2021 09:00
Monday",Jindera - Wagga (62) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
2 Hours",2 Hours,,,,,,,
VIC,AusNet,"14/12/2021 05:30
Tuesday","14/12/2021 15:30
Tuesday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"14/12/2021 08:00
Tuesday","14/12/2021 13:00
Tuesday",Sheffield - Farrell No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"Maintenance
5 Hours",5 Hours,,,,,,,
VIC,AusNet,"15/12/2021 05:30
Wednesday","15/12/2021 15:30
Wednesday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"15/12/2021 07:00
Wednesday","15/12/2021 13:00
Wednesday",Sheffield - Farrell No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"Maintenance
6 Hours",6 Hours,,,,,,,
NSW,Transgrid,"15/12/2021 07:00
Wednesday","15/12/2021 16:00
Wednesday",Lower Tumut - Wagga  (051) 330 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 4 hrs-Night: 4 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Commissioning
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"16/12/2021 05:30
Thursday","16/12/2021 15:30
Thursday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"17/12/2021 05:30
Friday","17/12/2021 15:30
Friday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"11/01/2022 07:00
Tuesday","11/01/2022 15:00
Tuesday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,,Planned - MTLTP,,,,T,,"Commissioning
8 Hours",,,,,,,,
SA,ElectraNet,"12/01/2022 20:30
Wednesday","13/01/2022 00:30
Thursday",Tailem Bend - South East  No.1 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 0 mins-Night: 1 hr,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
4 Hours",4 Hours,,,,,,,
SA,ElectraNet,"14/01/2022 00:30
Friday","14/01/2022 04:30
Friday",Tailem Bend - Tungkillo 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 0 mins-Night: 1 hr,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
4 Hours",4 Hours,,,,,,,
QLD,Powerlink,"10/02/2022 09:00
Thursday","10/02/2022 14:00
Thursday",Ross No.4 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
5 Hours",5 Hours,,,,,,,
TAS,TasNetworks,"16/02/2022 07:00
Wednesday","18/02/2022 15:00
Friday",Gordon - Chapel St No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 48 hrs-Night: 48 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"Commissioning
2.3 Days",2.3 Days,,,,,,,
TAS,TasNetworks,"24/02/2022 07:00
Thursday","24/02/2022 15:00
Thursday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"Commissioning
8 Hours",8 Hours,,,,,,,
QLD,Powerlink,"25/02/2022 13:00
Friday","25/02/2022 13:10
Friday",Nebo - Broadsound (8847) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",#VALUE!,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
10 Minutes",10 Minutes,,,,,,,
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"01/03/2022 06:00
Tuesday","01/03/2022 15:00
Tuesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"02/03/2022 06:00
Wednesday","02/03/2022 15:00
Wednesday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"03/03/2022 06:00
Thursday","03/03/2022 15:00
Thursday",Red Cliffs-Wemen 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"09/03/2022 06:00
Wednesday","09/03/2022 15:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"10/03/2022 06:00
Thursday","10/03/2022 15:00
Thursday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
NSW,Transgrid,"15/03/2022 05:00
Tuesday","19/03/2022 13:00
Saturday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 8 hrs
Night: 8 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,T,,T,"Commissioning
4.3 Days",4.3 Days,,,,,,,
NSW,Transgrid,"15/03/2022 05:00
Tuesday","15/03/2022 19:00
Tuesday",Tamworth No.3 330 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: 2 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
14 Hours",14 Hours,,,,,,,
NSW,Transgrid,"16/03/2022 05:00
Wednesday","16/03/2022 19:00
Wednesday",Tamworth No.3 330 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: 2 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
14 Hours",14 Hours,,,,,,,
VIC,AusNet,"16/03/2022 06:00
Wednesday","16/03/2022 13:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
7 Hours",7 Hours,,,,,,,
NSW,Transgrid,"17/03/2022 05:00
Thursday","17/03/2022 19:00
Thursday",Tamworth No.3 330 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: 2 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Commissioning
14 Hours",14 Hours,,,,,,,
NSW,Transgrid,"17/03/2022 06:00
Thursday","17/03/2022 16:00
Thursday",Dumaresq - Sapphire 330 kV line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"18/03/2022 06:00
Friday","18/03/2022 16:00
Friday",Dumaresq - Sapphire 330 kV line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"19/03/2022 06:00
Saturday","19/03/2022 17:00
Saturday",Dumaresq - Sapphire 330 kV line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 4 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
11 Hours",11 Hours,,,,,,,
NSW,Transgrid,"21/03/2022 06:00
Monday","21/03/2022 16:00
Monday",Armidale - Dumaresq (8C) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"22/03/2022 06:00
Tuesday","22/03/2022 16:00
Tuesday",Armidale - Dumaresq (8C) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
QLD,Powerlink,"22/03/2022 09:00
Tuesday","22/03/2022 17:00
Tuesday",Ross No.2 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ","Day: 3 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
8 Hours",8 Hours,,,,,,,
NSW,Transgrid,"23/03/2022 06:00
Wednesday","23/03/2022 17:00
Wednesday",Armidale - Dumaresq (8C) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 4 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
11 Hours",11 Hours,,,,,,,
NSW,Transgrid,"24/03/2022 06:00
Thursday","24/03/2022 16:00
Thursday",Armidale - Dumaresq (8E) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"25/03/2022 06:00
Friday","25/03/2022 16:00
Friday",Armidale - Dumaresq (8E) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 2 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"26/03/2022 06:00
Saturday","26/03/2022 17:00
Saturday",Armidale - Dumaresq (8E) 330 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM","Day: 4 hrs
Night: NA",Withdrawn,"Withdrawn
",,,,T,T,"Commissioning
11 Hours",11 Hours,,,,,,,
TAS,TasNetworks,"04/04/2022 08:00
Monday","06/04/2022 16:00
Wednesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,"Day: 48 hrs
Night: 48 hrs",Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"Commissioning
2.3 Days",2.3 Days,,,,,,,
QLD,Powerlink,"05/04/2022 10:35
Tuesday","05/04/2022 16:00
Tuesday",Strathmore - Ross (8857) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.","Day: 1.5 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
5.4 Hours",5.4 Hours,,,,,,,
VIC,AusNet,"20/04/2022 07:00
Wednesday","20/04/2022 16:00
Wednesday",Buronga - Redcliffs (OX1) 220 kV Line.,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.","Day: 4 hrs
Night: NA",Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
