Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
SA,ElectraNet,"19/11/2022 18:04
Saturday","23/11/2022 17:00
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: NA-Night: NA,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"SA
Commissioning
4 Days",#REF!,4 Days,,,,,,,
QLD,Powerlink,"21/11/2022 07:00
Monday","21/11/2022 17:00
Monday",Haughton River - Strathmore (879) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 2 hrs-Night: 2 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,,"QLD
Maintenance
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"23/11/2022 21:00
Wednesday","23/11/2022 22:59
Wednesday",Bulgana - Horsham 220 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 1 hr-Night: NA,Withdrawn,"Withdrawn
",,,,T,T,"VIC
Maintenance
2 Hours",#REF!,2 Hours,,,,,,,
QLD,Powerlink,"25/11/2022 08:00
Friday","25/11/2022 16:00
Friday",Strathmore - Ross (8857) 275 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Withdraw Requested,"Withdraw Requested
",,,,T,,"QLD
Commissioning
8 Hours",#REF!,8 Hours,,,,,,,
QLD,Powerlink,"25/11/2022 08:00
Friday","25/11/2022 16:00
Friday",Strathmore - Ross (8857) 275 kV Line,"<<NEW since the last notification>>
This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions.",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,T,,"QLD
Commissioning
8 Hours",#REF!,8 Hours,,,,,,,
VIC,AusNet,"02/12/2022 05:30
Friday","02/12/2022 17:00
Friday",Rowville - South Morang 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
11.5 Hours",#REF!,11.5 Hours,,,,,,,
VIC,AusNet,"07/12/2022 06:00
Wednesday","07/12/2022 17:00
Wednesday",Moorabool–Sydenham No.1 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"08/12/2022 06:00
Thursday","08/12/2022 17:00
Thursday",Moorabool–Sydenham No.1 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"09/12/2022 06:00
Friday","09/12/2022 17:00
Friday",Moorabool–Sydenham No.1 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"10/12/2022 05:30
Saturday","10/12/2022 12:30
Saturday",Hazelwood - Rowville 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 30 mins-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"VIC
Maintenance
7 Hours",#REF!,7 Hours,,,,,,,
QLD,Powerlink,"31/01/2023 07:00
Tuesday","31/01/2023 17:00
Tuesday",!!! New HIO Equipment Detected !!!,"<<NEW since the last notification>>
Check and Update Mapping Table (NOSEquipment Tab).",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
