Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
VIC,AusNet,"21/11/2021 12:51
Sunday","22/11/2021 06:00
Monday",Hazelwood - South Morang No.1 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
? Cause a large reduction in generation in Victoria
? Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: NA-Night: NA,In Progress - PTR,"In Progress - PTR
",,,,,,"Voltage Control
17.2 Hours",17.2 Hours,,,,,,,
VIC,AusNet,"22/11/2021 05:30
Monday","22/11/2021 18:00
Monday",Dederang - Wodonga 330 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage if the forecast temperature at Red Cliffs is greater than 30 deg. C.
This line outage offloads X5 220 kV line. 
Possible load shedding and risk of large reduction in generation in NSW and interconnector capacity between  NSW - Victoria following a credible contingency",Day: 3 hrs-Night: NA,Withdrawn - UTP,"Withdrawn - UTP
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours,,,,,,,
SA,ElectraNet,"23/11/2021 20:30
Tuesday","24/11/2021 04:30
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: NA-Night: NA,Planned - STLTP,"Planned - STLTP

MN: 92225 - Issued on: Mon 08/11/2021",,,,,,"Maintenance
8 Hours",8 Hours,,,,,,,
SA,ElectraNet,"24/11/2021 20:15
Wednesday","24/11/2021 20:30
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP

MN: 92261 - Issued on: Tue 09/11/2021",,,,,,"Maintenance
15 Minutes",15 Minutes,,,,,,,
SA,ElectraNet,"24/11/2021 20:45
Wednesday","24/11/2021 21:00
Wednesday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP

MN: 92261 - Issued on: Tue 09/11/2021",,,,,,"Maintenance
15 Minutes",15 Minutes,,,,,,,
SA,ElectraNet,"25/11/2021 04:15
Thursday","25/11/2021 04:30
Thursday",Tailem Bend - South East  No.2 275 kV Line,"A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
? Initiate the orderly separation of SA from the rest of the NEM.               
? Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,,,"Maintenance
15 Minutes",15 Minutes,,,,,,,
VIC,AusNet,"25/11/2021 05:30
Thursday","25/11/2021 16:30
Thursday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
11 Hours",11 Hours,,,,,,,
NSW,Transgrid,"27/11/2021 02:00
Saturday","27/11/2021 04:15
Saturday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM",Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
2.3 Hours",2.3 Hours,,,,,,,
NSW,Transgrid,"27/11/2021 05:30
Saturday","29/11/2021 18:00
Monday",Wagga - Darlington Point (63) 330 kV Line,"<<NEW since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 øC
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
?Between Victoria and New South Wales.
?Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
? Load shedding in the Victorian outer grid
? Market intervention through issuing of directions.",Day: 3 hrs-Night: 3 hrs,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,T,T,"Commissioning
2.5 Days",2.5 Days,,,,,,,
VIC,AusNet,"27/11/2021 05:30
Saturday","27/11/2021 18:00
Saturday",Dederang - Wodonga 330 kV Line,"<<NEW since the last notification>>
This is a high-impact outage if the forecast temperature at Red Cliffs is greater than 30 deg. C.
This line outage offloads X5 220 kV line. 
Possible load shedding and risk of large reduction in generation in NSW and interconnector capacity between  NSW - Victoria following a credible contingency",Day: 3 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
12.5 Hours",12.5 Hours,,,,,,,
