Region,NSP,Start,Finish,Network Asset,Recall_Day_Hours,Recall_Night_Hours,Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,Status_Description,Status_Code,Reason,Duration_Hours,Impact,file_name,Asset Type
VIC,AusNet,2024-11-11 06:00:00,2024-11-11 16:00:00,Haunted Gully - Tarrone 500 Kv line,2,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-02-04 06:00:00,2025-02-04 16:00:00,Bulgana - Horsham 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-03-03 05:00:00,2025-03-03 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,3,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-06-21 07:00:00,2025-06-21 17:00:00,Kiamal SF-Red Cliffs 220 kV LINE,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-01-27 06:00:00,2025-01-27 16:00:00,MooraboolSydenham No.2 500 kV Line,4,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,Line
VIC,AusNet,2024-12-04 05:00:00,2024-12-04 17:00:00,Kerang-Wemen 220 kV Line,8,0,1,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2025-04-10 07:00:00,2025-04-15 18:00:00,South Morang - Sydenham No.1 500 kV Line,120,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,132.0,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW  A credible contingency event during this planned outage could:    Cause a large reduction in generation in Victoria   Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",2024-08-26,Line
VIC,AusNet,2024-10-12 06:00:00,2024-10-12 16:00:00,Ararat - Crowlands 220kV Line,60,0,0,0,0,0,0,Planned,RESUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
SA,ElectraNet,2030-07-08 07:30:00,2030-07-14 17:30:00,Tailem Bend - South East  No.2 275 kV Line,6,12,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-04-04 06:00:00,2025-04-04 16:00:00,Kiamal SF - MurraWarra 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
VIC,AusNet,2024-10-14 06:00:00,2024-10-14 16:00:00,Heywood - Mortlake 500 kV Line,2,0,1,0,0,1,1,Planned,SUBMIT,Maintenance,10.0,<<NEW since the last notification>>  A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,Line
VIC,AusNet,2025-04-04 06:00:00,2025-04-04 16:00:00,Horsham - MurraWarra 220 kV Line,60,0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,Line
