Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
NSW,Transgrid,"11/10/2021 05:09
Monday","15/10/2021 17:00
Friday",Muswellbrook - Tamworth (88) 330 kV Line,"<<UPDATED since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 18 hrs-Night: 18 hrs,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"Commissioning
4.5 Days",4.5 Days,,,,,,,
VIC,AusNet,"12/10/2021 06:00
Tuesday","12/10/2021 15:00
Tuesday",Keilor - South Morang 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1 hr-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
NSW,Transgrid,"16/10/2021 05:30
Saturday","16/10/2021 17:00
Saturday",Tamworth No.3 330 kV Bus,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
11.5 Hours",11.5 Hours,,,,,,,
NSW,Transgrid,"16/10/2021 05:30
Saturday","16/10/2021 17:00
Saturday",Muswellbrook - Tamworth (88) 330 kV Line,"A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 3 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Commissioning
11.5 Hours",11.5 Hours,,,,,,,
VIC,AusNet,"16/10/2021 06:00
Saturday","16/10/2021 16:00
Saturday",Red Cliffs-Wemen 220 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,T,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"16/10/2021 06:00
Saturday","16/10/2021 16:00
Saturday",Red Cliffs-Wemen 220 kV Line,"<<NEW since the last notification>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"19/10/2021 06:00
Tuesday","19/10/2021 16:00
Tuesday",Keilor – Sydenham 500 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 3 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,,,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"20/10/2021 07:00
Wednesday","20/10/2021 08:00
Wednesday",Hazelwood - South Morang No.1 500 kV Line,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could cause a large reduction in generation in Victoria. ",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
1 Hours",1 Hours,,,,,,,
VIC,AusNet,"24/10/2021 05:30
Sunday","24/10/2021 16:30
Sunday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
• A large reduction in generation in Victoria
• Load shedding in Victoria",Day: 0 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
11 Hours",11 Hours,,,,,,,
NSW,Transgrid,"25/10/2021 06:30
Monday","25/10/2021 16:00
Monday",Armidale - Dumaresq (8C) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,,T,"Maintenance
9.5 Hours",9.5 Hours,,,,,,,
