Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"30/05/2022 07:00
Monday","28/06/2022 17:00
Tuesday",Nebo - Broadsound (8846) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,In Progress - PTP,"In Progress - PTP
",,,T,T,,"QLD
Commissioning
29.4 Days",#REF!,29.4 Days,,,,,,,
SA,ElectraNet,"03/06/2022 08:00
Friday","07/06/2022 17:30
Tuesday",Tailem Bend - South East  No.2 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 159 hrs-Night: 159 hrs,In Progress - PTP,"In Progress - PTP
",,,,,,"SA
Commissioning
4.4 Days",#REF!,4.4 Days,,,,,,,
NSW,Transgrid,"06/06/2022 06:00
Monday","06/06/2022 16:00
Monday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,In Progress - PTP,"In Progress - PTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"07/06/2022 06:00
Tuesday","07/06/2022 16:00
Tuesday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
TAS,TasNetworks,"07/06/2022 13:00
Tuesday","07/06/2022 15:00
Tuesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,,"TAS
Maintenance
2 Hours",#REF!,2 Hours,,,,,,,
NSW,Transgrid,"08/06/2022 06:00
Wednesday","08/06/2022 16:00
Wednesday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"09/06/2022 06:00
Thursday","09/06/2022 16:00
Thursday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"10/06/2022 06:00
Friday","10/06/2022 16:00
Friday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
NSW,Transgrid,"11/06/2022 06:00
Saturday","11/06/2022 16:00
Saturday",Armidale - Tamworth (85) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
• Synchronous separation of the Queensland region from the rest of the NEM",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"NSW / QLD
Commissioning
10 Hours",#REF!,10 Hours,,,,,,,
VIC,AusNet,"13/06/2022 07:00
Monday","13/06/2022 17:30
Monday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"14/06/2022 07:00
Tuesday","14/06/2022 17:30
Tuesday",Heywood - Tarrone 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
QLD,Powerlink,"15/06/2022 09:00
Wednesday","15/06/2022 15:00
Wednesday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 1 hr-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"QLD
Maintenance
6 Hours",#REF!,6 Hours,,,,,,,
VIC,AusNet,"17/06/2022 06:30
Friday","17/06/2022 17:00
Friday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 4 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
