Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration
SA,ElectraNet,"06/09/2021 08:00
Monday","12/09/2021 08:15
Sunday",Heywood - South East No.1 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Withdrawn,"Withdrawn
",,,,,T,"Commissioning
6 Days",6 Days
QLD,Powerlink,"06/09/2021 08:30
Monday","10/09/2021 16:00
Friday",Ross No.3 288/138/19 kV Transformer,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: 4 hrs-Night: 6 hrs,Planned - PDLTP,"Planned - PDLTP
",,,T,,,"Maintenance
4.3 Days",4.3 Days
VIC,AusNet,"07/09/2021 09:00
Tuesday","07/09/2021 20:00
Tuesday",Heywood No.1 500 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
11 Hours",11 Hours
VIC,AusNet,"07/09/2021 18:00
Tuesday","07/09/2021 20:00
Tuesday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
2 Hours",2 Hours
VIC,AusNet,"08/09/2021 09:00
Wednesday","08/09/2021 20:00
Wednesday",Heywood No.1 500 kV Bus,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 4 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
11 Hours",11 Hours
VIC,AusNet,"08/09/2021 18:00
Wednesday","08/09/2021 20:00
Wednesday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
2 Hours",2 Hours
NSW,Transgrid,"09/09/2021 06:00
Thursday","11/09/2021 16:00
Saturday",Dumaresq - Bulli Creek (8M) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM 
? Large reduction in generation in NSW if exporting.",Day: 3 hrs-Night: 4 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,T,"Commissioning
2.4 Days",2.4 Days
QLD,Powerlink,"09/09/2021 06:00
Thursday","11/09/2021 16:00
Saturday",Dumaresq - Bulli Creek (8M) 330 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause: 
? Synchronous separation of the Queensland region from the rest of the NEM 
? Large reduction in generation in NSW if exporting.",Day: 3 hrs-Night: 3 hrs,Planned - RESUBMIT,"Planned - RESUBMIT
",,,,,,"Commissioning
2.4 Days",2.4 Days
VIC,AusNet,"10/09/2021 07:00
Friday","10/09/2021 17:00
Friday",Hazelwood - Loy Yang Power Station No.1 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause:
? A large reduction in generation in Victoria
? Load shedding in Victoria",Day: 2 hrs-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"Maintenance
10 Hours",10 Hours
VIC,AusNet,"10/09/2021 16:00
Friday","10/09/2021 18:00
Friday",Heywood - Tarrone 500 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
? Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
? Post contingent FCAS will be sourced within SA following Separation event.",Day: 1 hr-Night: NA,Planned - SUBMIT,"Planned - SUBMIT
",,,T,T,T,"Maintenance
2 Hours",2 Hours
