Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Reason and
Duration",Duration,,,,,,,
VIC,AusNet,"13/12/2021 05:31
Monday","13/12/2021 15:30
Monday",Moorabool–Sydenham No.2 500 kV Line,"<<UPDATED since the last notification>>
A credible contingency event during this planned outage may require market intervention through issuing of directions",Day: 2 hrs-Night: NA,In Progress - PTP,"In Progress - PTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
NSW,Transgrid,"13/12/2021 07:00
Monday","13/12/2021 09:00
Monday",Jindera - Wagga (62) 330 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 1 hr-Night: NA,Withdrawn,"Withdrawn
",,,T,T,T,"Maintenance
2 Hours",2 Hours,,,,,,,
VIC,AusNet,"14/12/2021 05:30
Tuesday","14/12/2021 15:30
Tuesday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"14/12/2021 08:00
Tuesday","14/12/2021 13:00
Tuesday",Sheffield - Farrell No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,,"Maintenance
5 Hours",5 Hours,,,,,,,
VIC,AusNet,"15/12/2021 05:30
Wednesday","15/12/2021 15:30
Wednesday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
TAS,TasNetworks,"15/12/2021 07:00
Wednesday","15/12/2021 13:00
Wednesday",Sheffield - Farrell No.2 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - STLTP,"Planned - STLTP
",,,,T,,"Maintenance
6 Hours",6 Hours,,,,,,,
NSW,Transgrid,"15/12/2021 07:00
Wednesday","15/12/2021 16:00
Wednesday",Lower Tumut - Wagga  (051) 330 kV Line,"<<This outage has been WITHDRAWN!>>
This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C
This outage offloads the Buronga to Darlington Point X5 220 kV line and restricts power transfer 
• Between Victoria and New South Wales.
• Between South Australia and Victoria on Murraylink
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 4 hrs-Night: 4 hrs,Withdrawn,"Withdrawn
",,,T,T,T,"Commissioning
9 Hours",9 Hours,,,,,,,
VIC,AusNet,"16/12/2021 05:30
Thursday","16/12/2021 15:30
Thursday",Moorabool–Sydenham No.2 500 kV Line,A credible contingency event during this planned outage may require market intervention through issuing of directions,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"17/12/2021 05:30
Friday","17/12/2021 15:30
Friday",Moorabool–Sydenham No.2 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage may require market intervention through issuing of directions",Day: 2 hrs-Night: NA,Withdrawn,"Withdrawn
",,,,T,T,"Maintenance
10 Hours",10 Hours,,,,,,,
VIC,AusNet,"20/12/2021 06:30
Monday","20/12/2021 15:30
Monday",Sydenham No.2 500 kV Bus,"<<NEW since the last notification>>
This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 1.5 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"Maintenance
9 Hours",9 Hours,,,,,,,
