Region,NSP,Start,Finish,Network Asset,Impact,Recall,Status,"Status and
Market Notice",Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,"Impact Region,
Reason and
Duration",Vs Old,Duration,,,,,,,
QLD,Powerlink,"09/05/2023 07:00
Tuesday","09/06/2023 17:00
Friday",Nebo - Strathmore (878) 275 kV Line,"This is a high impact outage because the recall time is greater than 30 minutes.
A credible contingency event during this planned outage may require market intervention through issuing of directions. ",Day: NA-Night: NA,In Progress - PTP,"In Progress - PTP
",,,T,T,,"QLD
Commissioning
31.4 Days",#REF!,31.4 Days,,,,,,,
VIC,AusNet,"23/05/2023 05:00
Tuesday","23/05/2023 17:30
Tuesday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours,,,,,,,
VIC,AusNet,"24/05/2023 07:30
Wednesday","24/05/2023 16:30
Wednesday",Heywood - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"VIC / SA
Maintenance
9 Hours",#REF!,9 Hours,,,,,,,
VIC,AusNet,"25/05/2023 05:00
Thursday","25/05/2023 18:00
Thursday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"VIC / SA
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
VIC,AusNet,"26/05/2023 05:00
Friday","26/05/2023 18:00
Friday",Moorabool - Mortlake 500 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 30 mins-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,T,"VIC / SA
Maintenance
13 Hours",#REF!,13 Hours,,,,,,,
SA,ElectraNet,"29/05/2023 08:00
Monday","04/06/2023 17:30
Sunday",Cherry Gardens - Tailem Bend 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Withdrawn,"Withdrawn
",,,,,,"SA
Maintenance
6.4 Days",#REF!,6.4 Days,,,,,,,
SA,ElectraNet,"29/05/2023 08:00
Monday","02/06/2023 08:00
Friday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - MTLTP,"Planned - MTLTP
",T,,,,T,"VIC / SA
Commissioning
4 Days",#REF!,4 Days,,,,,,,
SA,ElectraNet,"29/05/2023 08:00
Monday","04/06/2023 09:30
Sunday",Cherry Gardens - Tailem Bend 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Planned - MTLTP,"Planned - MTLTP
",,,,,,"SA
Maintenance
6.1 Days",#REF!,6.1 Days,,,,,,,
VIC,AusNet,"31/05/2023 06:30
Wednesday","31/05/2023 17:00
Wednesday",Keilor – Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"31/05/2023 06:30
Wednesday","31/05/2023 18:00
Wednesday",Keilor – Sydenham 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11.5 Hours",#REF!,11.5 Hours,,,,,,,
TAS,TasNetworks,"31/05/2023 08:30
Wednesday","31/05/2023 16:20
Wednesday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"TAS
Maintenance
7.8 Hours",#REF!,7.8 Hours,,,,,,,
TAS,TasNetworks,"01/06/2023 08:30
Thursday","01/06/2023 16:20
Thursday",Gordon - Chapel St No.1 220 kV Line,A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,T,,"TAS
Maintenance
7.8 Hours",#REF!,7.8 Hours,,,,,,,
SA,ElectraNet,"02/06/2023 08:00
Friday","03/06/2023 17:30
Saturday",Heywood - South East No.1 275 kV Line,"A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 159 hrs-Night: 159 hrs,Planned - MTLTP,"Planned - MTLTP
",T,,,,T,"VIC / SA
Commissioning
1.4 Days",#REF!,1.4 Days,,,,,,,
SA,ElectraNet,"04/06/2023 09:30
Sunday","04/06/2023 17:30
Sunday",Cherry Gardens - Tailem Bend 275 kV Line,"<<NEW since the last notification>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Planned - SUBMIT,"Planned - SUBMIT
",,,,,,"SA
Maintenance
8 Hours",#REF!,8 Hours,,,,,,,
SA,ElectraNet,"04/06/2023 17:30
Sunday","19/06/2023 17:30
Monday",Cherry Gardens - Tailem Bend 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could leave South Australia connected to the NEM only via the South Australian 132 kV network. To maintain system security following this contingency AEMO will need to: 
• Initiate the orderly separation of SA from the rest of the NEM.               
• Source increased local regulation FCAS within SA.

During this planned outage power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector). ",Day: 16 hrs-Night: 24 hrs,Withdrawn,"Withdrawn
",T,,,,,"SA
Maintenance
15 Days",#REF!,15 Days,,,,,,,
SA,ElectraNet,"05/06/2023 08:30
Monday","06/06/2023 16:30
Tuesday",Heywood - South East No.2 275 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: 8 hrs,Withdrawn,"Withdrawn
",,,,,T,"VIC / SA
Maintenance
1.3 Days",#REF!,1.3 Days,,,,,,,
VIC,AusNet,"08/06/2023 06:30
Thursday","08/06/2023 17:30
Thursday",Rowville - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
11 Hours",#REF!,11 Hours,,,,,,,
VIC,AusNet,"09/06/2023 07:00
Friday","09/06/2023 17:30
Friday",Ballarat - Waubra 220 kV Line,"This is a high-impact outage only if the forecast temperature at Red Cliffs is greater than 30 °C 
A credible contingency event during this planned outage may require: 
• Load shedding in the Victorian outer grid
• Market intervention through issuing of directions.",Day: 2 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,T,T,T,"VIC
Maintenance
10.5 Hours",#REF!,10.5 Hours,,,,,,,
VIC,AusNet,"10/06/2023 05:30
Saturday","13/06/2023 19:00
Tuesday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: NA-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
3.6 Days",#REF!,3.6 Days,,,,,,,
VIC,AusNet,"12/06/2023 06:00
Monday","12/06/2023 18:30
Monday",Moorabool - Mortlake 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Withdraw Requested,"Withdraw Requested
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours,,,,,,,
VIC,AusNet,"13/06/2023 06:00
Tuesday","13/06/2023 18:30
Tuesday",Moorabool - Mortlake 500 kV Line,"<<This outage has been WITHDRAWN!>>
A credible contingency event during this planned outage could cause
synchronous separation of the South Australia region from the rest of
the NEM.
During this planned outage:
• Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).
• Post contingent FCAS will be sourced within SA following Separation event.",Day: 2 hrs-Night: NA,Withdraw Requested,"Withdraw Requested
",,,,,,"VIC / SA
Maintenance
12.5 Hours",#REF!,12.5 Hours,,,,,,,
VIC,AusNet,"14/06/2023 05:30
Wednesday","14/06/2023 19:00
Wednesday",Keilor - South Morang 500 kV Line,"This is a high impact outage only if the Forecast Operational Demand in Victoria region is greater than 7,000 MW
A credible contingency event during this planned outage could: 
• Cause a large reduction in generation in Victoria
• Restrict power transfer across the Victoria - South Australia interconnector (Heywood interconnector).",Day: 8 hrs-Night: NA,Planned - MTLTP,"Planned - MTLTP
",,,,,,"VIC
Maintenance
13.5 Hours",#REF!,13.5 Hours,,,,,,,
