Region,NSP,Start,Finish,Network Asset,Recall_Day_Hours,Recall_Night_Hours,Project Work?,Unplanned?,DNSP Aware?,Generator Aware?,Inter-Regional,Status_Description,Status_Code,Reason,Duration_Hours,Impact,file_name,Duration_Category,Asset Type
SA,ElectraNet,2030-08-05 07:30:00,2030-08-11 17:30:00,Tailem Bend - Tungkillo No.2 275 kV Line,6.0,12.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,153.6,A credible contingency event during this planned outage could cause  synchronous separation of the South Australia region from the rest of  the NEM.  During this planned outage:   Power transfer will be restricted across the Victoria - South Australia interconnector (Heywood interconnector).   Post contingent FCAS will be sourced within SA following Separation event.,2024-08-26,129.6–156.0 hrs,Line
VIC,AusNet,2025-01-04 06:00:00,2025-01-04 16:00:00,Crowland - Bulgana 220 kV Line,60.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-02-03 07:00:00,2025-02-03 17:00:00,MooraboolSydenham No.2 500 kV Line,4.0,0.0,0,0,0,0,0,Planned,RESUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-02-03 06:00:00,2025-02-03 18:00:00,MooraboolSydenham No.1 500 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,11.0–12.0 hrs,Line
VIC,AusNet,2025-02-03 06:00:00,2025-02-03 16:00:00,MooraboolSydenham No.2 500 kV Line,4.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-01-27 06:00:00,2025-01-27 16:00:00,MooraboolSydenham No.2 500 kV Line,4.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-01-22 07:00:00,2025-01-22 17:00:00,MooraboolSydenham No.2 500 kV Line,4.0,0.0,0,0,0,0,0,Planned,RESUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-01-20 06:00:00,2025-01-20 16:00:00,MooraboolSydenham No.2 500 kV Line,4.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-01-14 06:00:00,2025-01-14 18:00:00,MooraboolSydenham No.1 500 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,11.0–12.0 hrs,Line
TAS,TasNetworks,2025-01-13 07:00:00,2025-01-13 11:00:00,Sheffield - Farrell No.1 220 kV Line,1.0,0.0,0,0,0,1,0,Planned,SUBMIT,Commissioning,4.0,<<NEW since the last notification>>  A credible contingency event during this planned outage could cause a large reduction in generation in Tasmania. ,2024-08-26,0.2–8.5 hrs,Line
VIC,AusNet,2025-01-13 06:00:00,2025-01-13 18:00:00,MooraboolSydenham No.1 500 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,12.0,A credible contingency event during this planned outage may require market intervention through issuing of directions,2024-08-26,11.0–12.0 hrs,Line
VIC,AusNet,2025-01-04 06:00:00,2025-01-04 16:00:00,Bulgana - Horsham 220 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2025-02-04 06:00:00,2025-02-04 16:00:00,Crowland - Bulgana 220 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,8.5–10.0 hrs,Line
VIC,AusNet,2024-12-31 06:00:00,2024-12-31 16:00:00,Red Cliffs-Wemen 220 kV Line,2.0,0.0,0,0,0,0,0,Planned,SUBMIT,Maintenance,10.0,A credible contingency event during this planned outage may require:    Load shedding in the Victorian outer grid   Market intervention through issuing of directions.,2024-08-26,8.5–10.0 hrs,Line
